MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913424.097913,0.0,1.0,1505913424.097913,0.0,1.0,1505913424.097913,0.0,1.0,1505913424.097913,0.0,1.0,1505913424.097913,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913424.097919,0.0,1.0,1505913424.097919,0.0,1.0,1505913424.097919,0.0,1.0,1505913424.097919,0.0,1.0,1505913424.097919,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913424.098509,0.0,1.0,1505913424.098509,0.0,1.0,1505913424.098509,0.0,1.0,1505913424.098509,0.0,1.0,1505913424.098509,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
4.103921804,69.22811333,80.95013596,4.397614179,69.81485892,80.46930596,5.068532022,70.76388603,85.21630093,7.354847178,71.8651475,104.732773,7.928768962,71.98692051,107.669828,4.103921804,69.22811333,80.95013596,4.397614179,69.81485892,80.46930596,5.068532022,70.76388603,85.21630093,7.354847178,71.8651475,104.732773,7.928768962,71.98692051,107.669828,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
5.103891285,67.42005889,78.50553224,5.397594557,67.99648246,80.10155719,6.068524484,68.99016228,87.12002254,8.354846084,70.44499597,107.0306783,8.928768844,70.6444151,109.9012588,5.103891285,67.42005889,78.50553224,5.397594557,67.99648246,80.10155719,6.068524484,68.99016228,87.12002254,8.354846084,70.44499597,107.0306783,8.928768844,70.6444151,109.9012588,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,1505657398,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
1.051450467,73.67802474,5.85640956,1.342210241,72.46934175,27.26913099,3.419806781,70.45510987,66.83797075,8.620934196,70.85736474,95.9113964,9.847051503,70.98518562,99.76778958,1.051450467,73.67802474,5.85640956,1.342210241,72.46934175,27.26913099,3.419806781,70.45510987,66.83797075,8.620934196,70.85736474,95.9113964,9.847051503,70.98518562,99.76778958,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,1505657399,0,1,1505657399,0,1,1505657399,0,1,1505657399,0,1,1505657399,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0,1,74,0,74,0,0,0
1.276271055,62.96084622,32.99963912,1.601933465,64.68540938,46.71740426,3.617645812,67.5650785,70.22574193,9.393541876,69.70153184,96.91439116,10.82076463,69.96999067,100.6692424,1.276271055,62.96084622,32.99963912,1.601933465,64.68540938,46.71740426,3.617645812,67.5650785,70.22574193,9.393541876,69.70153184,96.91439116,10.82076463,69.96999067,100.6692424,1.00264859,60,6.74E-07,60,4.55E-13,0,0,1.028432094,60,9.54E-07,60,9.09E-13,0,0,1.305212943,60,6.74E-07,60,4.55E-13,0,0,1.888096779,60,6.74E-07,60,4.55E-13,0,0,1.988202685,60,0,60,0,0,0,1.00264859,3977336.513,5.97268E+15,1.028432094,41625493.96,6.09E+16,1.305212943,352085175.3,4.06E+17,1.888096779,708210247.4,5.65E+17,1.988202685,748361671.7,5.67E+17,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
59.96577655489072,79.8978799643287,9613.755097064755,108.08913585507456,140.80287817683222,34304.578198322386,422.68408540835264,263.11328072838216,61489.0031104832,2602.0853205543303,345.4541652630385,62928.0362287852,4620.328844890798,349.426869733922,62653.299149743805,59.96577655489072,79.8978799643287,9613.755097064755,108.08913585507456,140.80287817683222,34304.578198322386,422.68408540835264,263.11328072838216,61489.0031104832,2602.0853205543303,345.4541652630385,62928.0362287852,4620.328844890798,349.426869733922,62653.299149743805,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
60.96577655489072,79.57150209975062,9462.451788572376,109.08913585507456,140.0621730869672,34049.416912447115,423.68408540835264,262.63388278136557,61441.016010914806,2603.0853205543303,345.3445053287255,62935.1526844795,4621.328844890798,349.3642412390781,62657.86417597612,60.96577655489072,79.57150209975062,9462.451788572376,109.08913585507456,140.0621730869672,34049.416912447115,423.68408540835264,262.63388278136557,61441.016010914806,2603.0853205543303,345.3445053287255,62935.1526844795,4621.328844890798,349.3642412390781,62657.86417597612,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,1507657929.691626,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
61.96537355008746,79.25565631397592,9315.8281316804,110.0887031844222,139.33492160001992,33797.82260816081,424.6835252672944,262.1567418735476,61392.79843416336,2604.084976407385,345.23492960139185,62942.23965259773,4622.328783793442,349.3016398416497,62662.41938749631,61.96537355008746,79.25565631397592,9315.8281316804,110.0887031844222,139.33492160001992,33797.82260816081,424.6835252672944,262.1567418735476,61392.79843416336,2604.084976407385,345.23492960139185,62942.23965259773,4622.328783793442,349.3016398416497,62662.41938749631,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507657929.691628,0.0,1.0,1507657929.691628,0.0,1.0,1507657929.691628,0.0,1.0,1507657929.691628,0.0,1.0,1507657929.691628,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0
